GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DGO001,DG0001,DG0002,DG0003,DG0004,DG0005,DG0006,DG0007,DG0008,DG0009,DG0010,DG0011,DG0012,DG0013,DG0014,DG0015,DG0016,DG0017,DG0018,DG0019,DG1001,DG1002,DG1003,DG1004,DG1005,DG1006,DG6001,DG6002,DG6003,DG6004,DIB001,DIB002,DIB003,DIB004,DIB005,DIB006,DIB007,DIB008,DIB009,DIB010,DIB011,DIB012,DIB013,DID001,DID002,DID003,DID004,DID005,DID006,DID007,DID008,DID009,DID010,DID011,DID012,DID013,DID014,DID015,DID016,DID017,DIZ001
"G25001703527","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3527",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3527","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0",2265,0,143,23,0,0,0,108,225,8,41,873,19,7,0,0,278,345,110,85,132,64,29,203,60,14,1138,235,83,809,26,90,0,42,186,0,0,145,7,143,206,38,49,65,215,106,76,62,99,78,48,33,16,24,13,13,7,20,0,0,4593
"G25001703528","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3528",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3528","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0",2506,0,72,33,14,9,9,185,213,0,43,882,23,6,0,10,404,335,104,164,38,68,36,196,61,9,1256,328,77,845,46,163,80,93,162,18,25,182,0,201,196,45,59,21,88,159,78,48,83,98,85,101,22,43,39,16,55,0,8,5,6269
"G25001703529","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3529",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3529","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",2854,15,253,80,77,23,7,457,97,6,49,113,100,9,15,23,352,944,110,124,388,98,215,399,159,93,1345,1074,23,412,151,594,132,77,410,0,23,155,0,62,78,19,39,70,75,126,128,117,110,75,75,79,74,51,70,75,28,77,41,17,9111
"G25001703530","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3530",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3530","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",3444,26,303,68,60,43,5,423,95,0,99,18,106,69,23,0,773,960,202,171,464,109,313,369,61,68,1308,1509,46,581,185,621,130,128,355,5,18,204,0,116,65,45,26,152,377,214,175,173,157,125,116,110,63,38,78,52,38,51,37,0,8072
"G25001703531","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3531",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3531","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",6404,39,331,90,288,295,12,250,143,27,174,44,70,37,45,12,2366,1845,194,142,675,192,629,446,151,323,1078,3214,154,1958,403,799,512,110,577,22,30,347,10,60,140,42,29,66,138,127,164,150,149,88,125,52,45,61,35,35,38,33,49,5,5092
"G25001703532","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3532",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3532","0","0","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0",2579,0,231,106,98,107,5,236,120,0,5,21,55,58,6,6,498,776,170,81,323,206,153,316,145,37,1344,680,25,530,140,274,91,82,209,16,15,201,6,76,99,44,46,60,247,166,94,114,96,116,54,77,87,19,21,41,22,43,5,5,7088
"G25001703533","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3533",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3533","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",3739,21,218,56,135,150,0,410,197,0,20,51,68,56,17,15,582,1285,219,239,596,182,252,562,149,103,2067,1079,36,557,220,519,79,133,388,0,78,273,12,265,104,44,72,66,175,247,144,184,160,101,73,68,127,64,52,60,39,36,26,0,6736
"G25001703534","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3534",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3534","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0",2121,0,118,0,27,26,5,116,52,0,0,61,26,13,0,0,883,271,401,122,49,65,74,54,32,20,1122,541,33,425,79,177,68,39,190,0,30,236,0,67,49,4,0,117,65,111,100,104,117,67,55,33,53,46,12,21,21,18,7,0,6062
"G25001703535","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3535",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3535","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2459,8,142,20,68,57,4,217,89,4,4,5,52,19,5,0,717,759,125,164,215,125,178,293,74,67,1200,819,48,392,132,358,73,65,269,8,0,191,7,81,96,57,35,55,168,141,120,114,88,75,71,68,21,46,18,54,40,40,4,0,6657
"G25001703536","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","055","0610","3536",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4874,22,475,31,182,32,23,302,132,21,86,23,221,43,32,0,943,1878,238,190,797,99,452,663,172,237,1279,2735,88,772,297,1162,140,146,270,32,28,177,4,57,27,20,26,77,69,172,147,163,135,171,111,103,57,44,51,116,55,26,134,27,8909
